,tweets
71,""" @Funny_Truth: Hello how are you? [Fine] Hey, I didn't ask you how you looked!"""
72,' @BestofVirgo: Haters hating on Virgo cause they come to close to perfection.'
73,""" @Stayin_Fit: To keep going just make a 45 minute long playlist and don't stop until it's done."""
74,' @ManUtd: mufc will play AS Roma &amp; Inter Milan in the International Champions Cup this summer. mutour
75,"""It doesn't matter who hurt you, or broke you down, what matters is who made you smile again."""
76,'Stay faithful or remain single'
77,'16 Signs You May Have HIV
78,"'How Ethiopian Prostitute Posed As A Saudi Princess, Swindled Londoners Of \xa314 Million (PICTURED)"
79,"' @SpeakComedy: Stay up late, regret it in the morning, repeat.'"
80,' @SpeakComedy: im pretty sure by now is just part of my personality description'
81,"' @SpeakComedy: I say \\""i don\'t know\\"" to everything when I\'m in a bad mood.'"
82,"""Sex with someone who doesn't wants u is RAPE...... spread d word not d virus"""
83,"' @Funny_Truth: I like a tropical island: hot, wet, and waiting for tourists.'"
84,"' @TheLoverQuotes: @ChaskaBorek You can turn off the sun, but I`m still gonna shine... quotes lovequotes'"
85,""" @Inspire_Us: In life you are either a passenger or a pilot, it's your choice."""
86,""" @LargerThanWords: Go ahead, say it. You want to run away from everything. But know one thing: you can't run away from yourself."""
87,"""I can't control my feelings.....buh I hate how my feelins control me"""
88,'@totalnigeriaplc 5. use seat belt 14daysofawango'
89,'@totalnigeriaplc 2. maintain your vehicle properly and\. regularly and also check the oil level. 14daysofawango'
90,"' @TOTALNigeriaplc: Dear customers Day 9 of the 14daysofAwango giveaways contest has commenced, reply this tweet with your answer"
91,' @Inspire_Us: Stop wearing your wishbone where your backbone ought to be.'
92,'@totalnigeriaplc 5. use seat belt'
93,'@totalnigeriaplc 4. dO not over use air conditioning.'
94,'@totalnigeriaplc 3. remove any unnecessary loads from your vehicle.'
95,'@totalnigeriaplc 2. maintain your vehicle properly and regularly and also check the oil\. level.'
96,'@totalnigeriaplc 1. check your tyre pressure once a month.because under inflated tyres\. can increase fuel consumption by up to 4%.'
97,"'Fashola Bans Wearing Of Mini-Skirts, Other Attires For Lagos Gov Workers"
98,' @BestofVirgo: Virgo will never forget who matters to them and who do not.'
99,'@totalnigeriaplc Drive as soon as you started your engine and turn it off when you park\. for more than a minute.. 14DaysofAwango'
100,'@totalnigeriaplc Dont use the Air Conditioning excessively. Unnecessary use can\. increase fuel consumption&amp;give more CO[carbon(II)oxide] off'
101,'@totalnigeriaplc 1. Checking the oil level regularly enables to save fuel. 2. Drive at\. reasonable speed and avoid aggressive driving'
102,'@totalnigeriaplc Check your oil level every 2000 km or before a long journey 14daysOfAwango'
103,'@totalnigeriaplc Engine 0il : Be sure to use the right specification of engine oil 14daysofAwongo'
104,'3 Steps To Stop Being Busy And Start Being Productive
105,'Fast And Furious Actress Michelle Rodriguez And Cara Delevingne Confirm Their Lesbian Relationship (PHOTOS)
106,"'Depressed Man Tries To Feed Self To Tigers, But They Reject Him (Pictured)"
107,"'Woman Catches Robber, Ties Him Up, Rapes Him For 3-Days, Feeds Him Viagra (PICTURED)"
108,"'All, everything that I understand, I understand only because I love. - Leo Tolstoy'"
109,"""I don't belief in failure"""
110,'always take a thoughtful step'
111,"""Dey say am black,buh dat one day lyk 24HRS,u claim she's ur gal,buh I guess she's OURS,ur album no sweet,jux SOUR,I go bake u witout FLOURS"""
112,'Uche Jombo Shares Her No Makeup Picture
113,"""u cn't buy luv because wen its real,its priceless"""
114,'Give This Dog A Title...
115,' @Funny_Truth: I have an X in my equation that U can replace.'
116,""" @TheseDamnQuote: Giving up doesn't always mean you're weak, sometimes it means you are strong and smart enough to let go and move on."""
117,""" @TheLoverQuotes: @ChaskaBorek It's better to live your own life imperfectly than to imitate someone else's perfectly. lovequotes qu"
118,' @Funny_Truth: It impossible to spell up without
119,'@TOTALNigeriaplc RED and YELLOW 14DaysOfAwango'
120,'RED and YELLOW 14DaysOfAwango'
121,"'The greater the effort, the greater the glory. Pierre Corneille'"
122,"'Life: Cherish it, love it, live it.'"
123,"' @Inspire_Us: It does not matter how many times you get knocked down, but how many times you get up. -Vince Lombardi'"
124,"' @411Vibes: DANG!!! Girl Eats Only Chicken For 15 Years, Guess What Happens To Her. MUST SEE 411VibesDotCom'"
125,""" @TheseDamnQuote: Make memories you'll look back and smile at."""
126,""" @LargerThanWords: No one can choose your mountain or tell you when to climb. It's yours alone to challenge. At your own pace and time."""
127,"' @manamica: \\""You usually can\'t tell what\'s inspiring until you look back on it.\\"" - Carly Simon'"
128,""" @Funny_Truth: You look so familiar didn't we take a class together? I could've sworn we had chemistry."""
129,' @waduponline: Read Pastor E. A Adeboye message to skin bleachers
130,' @TheFunnySayings: Yoga improves your sex life \
131,' @TheFactsBook: Women are influenced by how a man smells.'
132,""" @Inspire_Us: Look at your problems as problems &amp; they'll continue to hold you down. See them as blessings in disguise &amp; that's what they"
133,"'Sooner or later, those who win are those who think they can. - Paul Tournier'"
134,' @TheFacts1O1: Talking to your mother has the same effect on stress as getting a hug.'
135,' @Kabs_Cebekhulu: I Loooove My Flaws..'
136,""" @Kabs_Cebekhulu: They Gon' Love You a Little Different When you Are At The Top!"""
137,' @sodamnIove: I really like being around you.'
138,' zlatan'
139,"' @BestofVirgo: I am a Virgo because I will always persevere, sacrificing my heart for only those I hold dear.'"
140,' @TheLoverQuotes: We were given 2 hands to hold. 2 eyes to see But why only one heart? Because the other was given to someone else. For u
141,' @SupremeMasterTV: Bravo to Vegan Olympian Alexey Voyevoda for winning the gold! \\
142,' @awkwardposts: The amount of people i would marry without a seconds hesitation is quite worrying'
143,' @awkwardposts: Can i sell my feelings on ebay i don want them anymore'
144,' @Inspire_Us: The greatest weapon against stress is our ability to choose one thought over another.'
145,"'Life is cheap, it only take one bullet.'"
146,""" @Inspire_Us: Don't be pushed around by your problems. Be led by your dreams."""
147,' @shivaashivaa61: those who tweet love quotes 90% of them are single :p'
148,' @Masquerader_: Over thinking leads to Over thinking'
149,""" @CharlesBukkake1: I'll be bad and unprepared when I'm good and ready."""
150,'Nothing is impossible'
151,"""The reason why everyone wants love so much is because it's the closest thing to magic."""
152,"' @manamica: \\""I want to be inspiring to myself, to my kids, my family, and my friends.\\"" - Jodie Foster'"
153,'When will you realise how much i fucking care about you?'
154,'People too weak to follow their own dreams will always find a way to discourage yours'
155,'Nothing you wear is more important than your smile. -Connie Stevens'
156,"'Dont believ rumors, only believe what you see.'"
157,"'Dont believe rumors, only believe what you see.'"
158,"' @SayingsForGirls: No matter how great you are, not everybody will like you. That life.'"
159,"""Don't rush things. Anything worth having is worth waiting for."""
160,"'Stay positive, tomorrow will be amazing.'"
161,"' @iadorewomen_: I want a laid back, funny, shit talking, play fighting, type of relationship. \"
162,' @TheseDamnQuote: Always be there for the person who is always there for you.'
163,'Never regret growing old. Not everyone has that privilege.'
164,"' @TheWorldStories: Flathead Lake - is the largest natural freshwater lake in northwestern Montana, USA."
165,"' @TheWorldStories: The endless beaches of beautiful Cancun, Mexico"
166,' @UnusuaIFactPage: One in four people can compose a text-message without looking at their cellphone'
167,' @UnusuaIFactPage: 88% people at some point in their life have tried to close the fridge slowly to see when the light goes out.'
168,' @UnusuaIFactPage: People who oversleep tend to crave more sleep.'
169,"'[TheTrent] Pakistan Breaks Guinness World Record Of Largest Human Flag With 29,040 Youths (PHOTOS)"
170,"' @LargerThanWords: Never apologize for showing feelings. When you do so, you apologize for the truth.'"
171,"' @DailyPostNgr: \\""I\'m always the bad guy\\"" - Mourinho -"
172,' @Inspire_Us: Bitterness is like drinking poison &amp; waiting for the other person to die. -Steve Ostten'
173,""" @LargerThanWords: Its easy to forget things you want to remember. Its hard to forget things you don't want to remember."""
174,"' @TheLoverQuotes: @ChaskaBorek As long as you hate, there will be people to hate.\. George Harrison Quotes LoveQuotes'"
175,' @Kabs_Cebekhulu: Its So Easy To Say No Sometimes Outta Fear So Why not Take The Hard Road And Saying Yes!'
176,' @Inspire_Us: Everyone Dies. But not everyone really lives.'
177,"' @MarilynMonroeID: Forever is a long time, but I would spend it with you.'"
178,'Live like a candle which burns itself but gives light to others'
179,"' @StayFitDaily: When people say healthy food is expensive, I tell them surgery is expensive.'"
180,"""Temporary defeat is not permanent failure, because a future where I don't succeed does not exist."""
181,"""Once you lose a Virgo's love, you never get it back. They will however always care for you."""
182,"""Just be you, and if people don't like it, well,fuck them."""
183,' @Funny_Truth: You don need car keys to drive me crazy.'
184,"""Being positive in a negative situation isn't naive, it's leadership."""
185,""" @BestofVirgo: I am a Virgo because my mind doesn't have an off switch. I analyze my dreams as I'm dreaming."""
186,"""Faith is taking the first step even when you don't see the whole staircase."""
187,"'Even if I knew that tomorrow the world would go to pieces, I would still plant my apple tree.'"
188,'Try to be like the turtle - at ease in your own shell.'
189,"' @Inspire_Us: When you talk, you are repeating what you already know. But if you listen, you may learn something new.'"
190,"'Health is the greatest gift, contentment the greatest wealth, faithfulness the best relationship.'"
191,'The best and most beautiful things in the world cannot be seen or even touched - they must be felt with the heart.'
192,"""I liked things better when I didn't understand them."""
193,'He who stops being better stops being good.'
194,"""All you need is love. But a little chocolate now and then doesn't hurt."""
195,'God loves each of us as if there were only one of us.'
196,"' @PsychographEd: When people respond to my text with I get tempted to respond to with for uranium, but I just control myself.'"
197,"""I never eat in a restaurant that's over a hundred feet off the ground and won't stand still."""
198,' @TheFacts1O1: Marilyn Manson sometimes writes the word on his face to stop photographers from taking his photo as they can prin
199,""" @TheFacts1O1: People are more likely to assume you're arguing with them when you're actually just explaining why you're right."""
200,'Finding love is about timing. Psychologists believe it possible to find the right person but at the wrong time'
201,' @LargerThanWords: Calling me ugly wont make you pretty.\. Calling me fake wont make you real.'
202,'Create each day anew.'
203,'Listening to OJBjezreel NotAfraid'
204,'Gravitation is not responsible for people falling in love.'
205,"""All you need is love. But a little chocolate now and then doesn't hurt."""
206,'God loves each of us as if there were only one of us.'
207,""" @ChaskaBorek Don't go through life, grow through life."""
208,"'If we should die tonight, then we should all die together.'"
209,'Everything in your life happens for a reason.'
210,'Nothing leads to good that is not natural'
211,"'We are all in the gutter, but some of us are looking at the stars.'"
212,"'The more you care, the more it hurts.'"
213,"""If you can't beat them, then you should consider joining them."""
214,'Education is not preparation for Life; Education is Life itself'
215,""" @Drakee_YMCMB: Music always helps, no matter what you're going through."""
216,"'Haters never DIE, they just MULTIPLY'"
217,"' @manamica: \\""Everything you\'ve ever wanted is on the other side of fear.\\"" - George Addair'"
218,' @Inspire_Us: What lies behind us &amp; what lies before us are tiny matters compared to what lies within us. -Ralph Waldo Emerson'
219,'I put my faith in you!
220,'The quality of a leader is reflected in the standards they set for themselves.'
221,'The heat has been insane lately D: make sure to hydrate yourselves and drink plenty of H20!'
222,'Too much stress literally causes the human brain to freeze and shut down temporarily'
223,"""Running away from your problems is a race you'll never win."""
224,"'William Shakespeare\' is an anagram of \'I am a weakish speller\'.\\""'"
225,""" @TheseDamnQuote: Everyone makes mistakes. The important thing is that you learn from them and don't repeat them."""
226,' @YNaija: was very painful Woman with maggots in private part speaks out
227,'im \xdfa\xa2k!'
228,' @Inspire_Us: Do not regret growing older; it is a privilege denied to many.'
229,"' @UnusuaIFactPage: Chocolate, sex and laughter are all key to a healthy brain.'"
230,"' @UnusuaIFactPage: Loneliness causes people to take longer baths/showers, sleep longer and over think more'"
231,'The only way to enjoy anything in this life is to earn it first.'
232,"""Animals don't hate, and we're supposed to be better than them. Elvis Presley"""
233,'Goes around comes around...'
234,"""If you don't build your dream, someone will hire you to build theirs."""
235,'Everyday holds the possibility of a miracle.'
236,"'Trust, respect, great sex and communication - 4 essential parts of a successful relationship'"
237,"""CR7 WINS 2013 BALLON D'OR... GREAT!"""
238,"'When a person is down in the world, an ounce of help is sometimes better than a pound of preaching.'"
239,""" @JamesWoodd: When you and your girlfriend break up and all those boys that were 'just mates' are like"
240,"' @LargerThanWords: Revenge is a dish, best served cold.'"
241,"""Who's gon really win the Ballon d'Or 2013 title? I vote CR7!"""
242,' GOODMORNING'
243,'Itz MONDAY! Rising early make the road short... Jump outta bed!'
244,"'When a person is down in the world, an ounce of help is sometimes better than a pound of preaching.'"
245,'He That Come To Equity Must Come With Clean Hands'
246,'PEOPLE PROTECT WHAT THEY LOVE.'
247,"' @TheLoverQuotes: @ChaskaBorek Count your age by friends, not years. Count your life by smiles, not tears.\. John Lennon Quotes LoveQ"
248,"' @PsychographEd: I need a hug and, if possible, a gun.'"
249,' @damnitstrue: this is talent \
250,'MA INO'
251,""" @AgwuComedy: When you find a King, keep him. When you find a Queen, love &amp; protect her. Don't reshuffle ur card, cos U might end up pick"
252,"' @AgwuComedy: Nowadays The evil that men do, surprises even the devil.'"
253,"' @AgwuComedy: Lions sleep for 18hrs, while donkeys work 18hrs in a day. If hard work was d secret to success,a Donkey would have been d K"
254,'Never ever take ibuprofen to cure hangover. On an empty stomach it can actually tear your stomach lining.'
255,""" @Thegooglefactz: Wait 24 hours before getting mad and reacting. If it doesn't bother you in 24 hours, it probably isn't important enough"
256,"' @BestProAdvice: The morning after New Years, eat eggs. Eggs have many proteins and enzymes that assist in making the process of getting"
257,'Every saint has a past. Every sinner has a future.'
258,' @MxhdAzri: I miss some of friend espicially you.
259,'Gott Nytt Ar'
260,' @TheseDamnQuote: IF YOU AGREE.
261,"' PeopleWhoMadeMy2013 All My Friends, Thank You So Much. Have A Fantastic 2014 :)'"
262,'@MtiyaneAyanda hiii! happy new year :)'
263,' HappyNewYear!'
264,' @LargerThanWords: Happy New Year 2014 everyone. May this new year bring peace and joy in your life and take you towards excellence. http
265,"' @Funny_Truth: Merry Christmas Guys, Enjoy and Love everyone."
266,"'The dogs bark, but you keep walking - Mourinho'"
267,"'In him was life, and that life was the light of men. - John1:4'"
268,"'And we know that in all things God works 4 d good of those who love him, who av been called according 2 his purpose- Rom8:28'"
269,"'4 GOD so loved d world dt he gave his one and only Son, dt whoever believes in him shall nt perish bt av eternal life.-John3:16'"
270,'You can never cross the ocean unless you have the courage to lose sight of shore. -Christopher Columbus'
271,'Your desire for success must always be greater than any obstacle that stands in your way.'
272,'Pleasures of love last a moment but pain of love lasts a lifetime.'
273,'In the beginning GOD created the heavens and the earth. Gen. 1:1'
274,'Courtesy is as much a mark of a gentleman as courage - Theodore Roosevelt'
275,"""When asking for help, appeal to people's self-interest not their mercy or gratitude"""
276,"'Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment'"
277,' @TheFacts1O1: Textiety is a condition in which an individual feels anxious after not receiving or sending any text messages.'
278,'The chief obstacle to the progress\. of the human race is the human\. race.'
279,"'Desire nothing, give up all desires\. and be happy.'"
280,' @OmarAlSalhi: You cannot teach a man anything; you can only help him find it within himself. Galileo Quote'
281,"' @LargerThanWords: Words are like bullets: when well aimed, they have a pretty hard effect.'"
282,' @PsychographEd: Q: why did the chicken cross the road?\. \. A: who fucking cares!'
283,""" @KillaQuotes: I'm trying to right my wrongs/ But it's funny the same wrongs help me write this song. - Kanye West"""
284,' @Funny_Truth: LMAO..
285,""" @BestofVirgo: It's the Virgo way or the highway."""
286,' @Kabs_Cebekhulu: Dont Kiss Behind The Garden Gate Love Is Blind But The Neighbours Aint..'
287,' @TheWorldStories: How to float. 1: Pour some water. 2: Step away from water. 3: Take a photo.
288,""" @Funny_Truth: If I ever get you, I'm keeping you. \"
289,""" @Inspire_Us: Look at your problems as problems &amp; they'll continue to hold you down. See them as blessings in disguise &amp; that's what they"
290,""" @TheFunnySayings: We don't lose friends, we just learn who our real ones are."""
291,"' @TheFactsBook: It has been scientifically proven that the less you know, the more you think you know.'"
292,' @JensenClan88: It racist that they made black licorice taste so bad.'
293,' @Nonkulu94115960: U cnt always keep waiting 4 a better'
294,' @Kabs_Cebekhulu: I Cut People Off With no hesitation Cant Trust Everybody Cant Love Everybody Cant Be friends With Everybody Fuck it'
295,"'Health is the greatest gift,\. contentment the greatest wealth,\. faithfulness the best relationship.'"
296,'Try to be like the turtle - at ease in\. your own shell.'
297,' @TheseDamnQuote: Everyone has a story. Everyone has gone through something that has changed them.'
298,' @TheFacts1O1: Deep voice is considered as a sex appeal in men but deep voiced men actually tend to have lower sperm counts.'
299,""" @MrWoleSoyinka: Don't judge a man until u've walked a mile in his shoes."""
300,'How T.B Joshua anointing water saved us from the Nyanya bomb blast Survivors
301,'Rapper Andre Johnson Cuts Off Own PENNIS Then Jumps Off Two-Storey Building [PHOTOS]
302,'Daily Meditations: The Power Of Words
303,"""Atiku Abubakar Reacts On David Moyes' Sack"
304,' for better days ahead Psquare Peter Okoye Breaks Silence Since News Of Duo Split (DETAILS)
305,"'Bandits Steal 625 Cows From Grazing Camps In Kaduna, Abuja"
306,'I Ready To Expose Sponsors Of Boko Haram Adamawa Seer
307,' @Dappyboy0489: Tom Cleverley has handed over his transfer request as Everton is set to buy him in the summer'
308,""" @Dappyboy0489: David Moyes says Manchester United job was 'immense' as he thanks everyone BUT the players"""
309,'SEE The Health Benefits Of Cucumbers (MUST READ)
310,'Former Miss World Agbani Darego stuns in make-up free photos
311,"'Patience Jonathan Calls For Release Of Abducted Girls, Borno Govt. Offers N50M For Any Info"
312,"'PHOTOS: Annie Idibia Returns To Acting, Leaves Baby At Home"
313,"'She 12, He 13: Britain Youngest Ever Parents Pose With Their Newborn Baby (PHOTO)"
314,"""God's plan is bigger than your mistakes."""
315,"""I'm not scared of commitment. I'm scared of who I commit to."""
316,'Snoop Doggs real name is Calvin Cordozar Broadus Jr.'
317,"'There\'s a bar in Ireland that opened in the year 900 A.D. and is still operational. It\'s named \\""Sean\'s Bar\\"".'"
318,' @FunnySayings: school would be ok if it started at 2 in the afternoon and finished at 2 in the afternoon'
319,' @Funny_Truth: There will only be 7 planets left after I destroy Uranus.'
320,'A group of ferrets is called a business.'
321,""" @TheseDamnQuote: It's better to know and be disappointed than to never know and always wonder."""
322,"'Never say God I have a problem, say problem I have a God!'"
323,"' @manamica: \\""Be yourself; everyone else is already taken.\\"" - Oscar Wilde'"
324,' @AllAroundNig: Details Of Crimes Committed By Gaddafi Are Depicted In New Documentary Via @AllAroundNig'
325,' @MrWoleSoyinka: Be a lady first before u become the FIRST lady.'
326,""" @MrWoleSoyinka: Any money you can't forgive and forget do not borrow it out."""
327,""" @MrWoleSoyinka: Happiness Dwells From Within. If You Think You're Sad, You'll Be Sad"""
328,"' @MrWoleSoyinka: Pharaoh culdnt stop Moses, Saul culdnt stop David from d Throne, Satan culdnt stop Jesus, May no obstacle Stop u dis wee"
329,'The best and most beautiful things\. in the world cannot be seen or\. even touched - they must be felt\. with the heart.'
330,'Never wear anything that panics\. the cat. ;)'
331,'The sky is the part of creation in\. which nature has done for the\. sake of pleasing man.'
332,'Wisdom outweighs any wealth.'
333,""" @TheseDamnQuote: I love you... Don't ever question that."""
334,""" @LargerThanWords: It's hard to beat a person who never gives up."""
335,' @OMGFacts: One person out of every 20 people is born with an extra rib.'
336,""" @SlackBeelermdh: Don't give up on things that make you smile."""
337,"""If the facts don't fit the\. theory, change the facts."""
338,'Do not take life too\. seriously. You will never get\. out of it alive.'
339,"' @TheFacts1O1: Dimples are considered to be a \\""facial muscle deformity.\\""'"
340,"'I believe that if life gives u\. lemons, u should make\. lemonade.And try to find\. somebody whose life has\. given them vodka and have\. a party'"
341,'Sometimes the heart sees\. what is invisible to the eye.'
342,"""We are all here on earth\. to help others; what on\. earth the others are here\. for I don't know."""
343,'The desire to write grows\. with writing.'
344,"' @KillaQuotes: We was young and we was dumb, but we had heart. - Tupac'"
345,""" @Inspire_Us: The answer lies within ourselves. If we can't find peace and happiness there, it's not going to come from the outside. - Te"
346,"' @SlackBeelermdh: Stop over thinking, stop worrying, stop complaining. Life is too short for all that.'"
347,'The only Zen you can find on the tops of\. mountains is the Zen you bring up there.'
348,'The finest steel has to go through the hottest\. fire.'
349,"'Quarrels end, but words once spoken never die.'"
350,' @TheComedyHumor: Things to do today:\. \. 1) Get up.\. \. 2) Survive.\. \. 3) Go back to bed'
351,' @Inspire_Us: Minds are like parachutes - they only function when open. -Thomas Dewar'
352,'Don let life discourage you; everyone who got where he is\. had to begin where he was. Richard L. Evans'
353,""" @Kabs_Cebekhulu: FEAR- Forget Err'Thang And Run"""
354,' @TheFunnySayings: Being a person is getting too complicated. Time to be a unicorn.'
355,"' @Funny_Truth: You like the lyrics to my favorite song, hard to forget and always on my mind.'"
356,'All iz well'
357,"""Second chances aren't always a guarantee, so use your first chance wisely."""
358,"'If you love someone, dont let them slip away.'"
359,"'\\""You play my heart like it\'s a game\\"" - Demi Lovato'"
360,"""Never break down for someone who won't stand up for you..."""
361,' @damnitstrue: We all have a friend who always thinks of everything in a dirty way.'
362,"' @Inspire_Us: By being yourself, you put something wonderful in the world that was not there before. - Edwin Elliot'"
363,"'Never underestimate the pain of a\. person, everyone is struggling. Just\. some people are better at hiding it\. than others.'"
364,' @Funny_Truth: There isn a word in the dictionary to describe how good you look.'
365,'A goal without a plan is just a wish'
366,"""I'm fine thanx... @nonkulu94115960"""
367,'@kabs_cebekhulu :) ;)'
368,' @KaBs_Cebekhulu: I Think Like An Adult But Run Around like A Free Child :)'
369,"'@nonkulu94115960 hi, how are you doing?'"
370,""" @Neeggaboy: I'm standing tall, I deserve a tallership.. my haterz falling, they deserve a fallership modemusic DNA-RECORDS"""
371,"' @Neeggaboy: When she ignores you, she wants you to give her attention.'"
372,"'As you think, so shall you become'"
373,'Questions exist so that they can be answered.'
374,'In God I trust.. GOODNYT...'
375,"'Nothing should hold a man back from his destiny, future starts now - Akolade Moses'"
376,"'Success is like wild animal, if you dont tame it, it can tear you - Familugba Seun'"
377,'Odontophobia is the fear of teeth'
378,'....forever and always...'
379,'Music is powerful enough to change a persons perception of the world.'
380,"'In him was life, and that life was the light of men. John 1:4'"
381,'laughter is the brush that sweeps away the cobwebs of your heart. - Mort Walker'
382,"""you are more likely to memorize what you've written, if you wrote in blue ink"""
383,'never go to bed angry.'
384,'@KaBs_Cebekhulu lolz... Im one too ;-)'
385,""" Virgo's can be very testy and short fused. You don't want to annoy one"""
